Zeit;Kanal A;Kanal B
(ms);(V);(A)

-4,96495995;0,00000000;0,00000000
-4,96484795;0,00000000;0,00000000
-4,96473595;0,00000000;-3,93700790
-4,96462395;0,00000000;0,00000000
-4,96451195;0,00000000;0,00000000
-4,96439995;0,00000000;-3,93700790
-4,96428795;0,00000000;0,00000000
-4,96417595;0,00000000;-3,93700790
-4,96406395;0,00000000;0,00000000
-4,96395195;0,00000000;-3,93700790
-4,96383995;-1,96850395;0,00000000
-4,96372795;0,00000000;-3,93700790
-4,96361595;0,00000000;-3,93700790
-4,96350395;0,00000000;-3,93700790
-4,96339195;0,00000000;-3,93700790
-4,96327995;0,00000000;0,00000000
-4,96316795;0,00000000;-3,93700790
-4,96305595;0,00000000;-3,93700790
-4,96294395;-1,96850395;0,00000000
-4,96283195;0,00000000;0,00000000
-4,96271995;0,00000000;-3,93700790
-4,96260795;0,00000000;0,00000000
-4,96249595;0,00000000;-3,93700790
-4,96238395;0,00000000;0,00000000
-4,96227195;0,00000000;0,00000000
-4,96215995;0,00000000;0,00000000
-4,96204795;-1,96850395;0,00000000
-4,96193595;0,00000000;0,00000000
-4,96182395;0,00000000;-3,93700790
-4,96171195;0,00000000;0,00000000
-4,96159995;0,00000000;-3,93700790
-4,96148795;0,00000000;0,00000000
-4,96137595;0,00000000;0,00000000
-4,96126395;0,00000000;-3,93700790
-4,96115195;0,00000000;0,00000000
-4,96103995;0,00000000;0,00000000
-4,96092795;0,00000000;0,00000000
-4,96081595;0,00000000;-3,93700790
-4,96070395;0,00000000;0,00000000
-4,96059195;0,00000000;0,00000000
-4,96047995;0,00000000;0,00000000
-4,96036795;0,00000000;-3,93700790
-4,96025595;-1,96850395;0,00000000
-4,96014395;-1,96850395;0,00000000
-4,96003195;0,00000000;-3,93700790
-4,95991995;0,00000000;0,00000000
-4,95980795;0,00000000;0,00000000
-4,95969595;0,00000000;0,00000000
-4,95958395;0,00000000;0,00000000
-4,95947195;-1,96850395;0,00000000
-4,95935995;0,00000000;0,00000000
-4,95924795;0,00000000;0,00000000
-4,95913595;0,00000000;0,00000000
-4,95902395;0,00000000;0,00000000
