Zeit;Kanal A
(ms);(V)

-0,98959996;0,00000000
-0,98956796;-0,07874016
-0,98953596;0,00000000
-0,98950396;-0,07874016
-0,98947196;0,00000000
-0,98943996;-0,07874016
-0,98940796;0,00000000
-0,98937596;-0,07874016
-0,98934396;-0,07874016
-0,98931196;-0,07874016
-0,98927996;-0,07874016
-0,98924796;-0,07874016
-0,98921596;-0,07874016
-0,98918396;-0,07874016
-0,98915196;0,00000000
-0,98911996;0,00000000
-0,98908796;0,00000000
-0,98905596;0,00000000
-0,98902396;-0,07874016
-0,98899196;-0,07874016
-0,98895996;-0,07874016
-0,98892796;0,00000000
-0,98889596;-0,07874016
-0,98886396;0,00000000
-0,98883196;-0,07874016
-0,98879996;-0,07874016
-0,98876796;-0,07874016
-0,98873596;0,00000000
-0,98870396;0,00000000
-0,98867196;-0,07874016
-0,98863996;-0,07874016
-0,98860796;0,00000000
-0,98857596;-0,07874016
-0,98854396;-0,07874016
-0,98851196;0,00000000
-0,98847996;0,00000000
-0,98844796;0,00000000
-0,98841596;0,00000000
-0,98838396;0,00000000
-0,98835196;-0,07874016
-0,98831996;-0,07874016
-0,98828796;0,00000000
-0,98825596;-0,07874016
-0,98822396;-0,07874016
-0,98819196;0,00000000
-0,98815996;0,00000000
-0,98812796;-0,07874016
-0,98809596;-0,07874016
-0,98806396;0,00000000
-0,98803196;-0,07874016
-0,98799996;0,00000000
-0,98796796;0,00000000
-0,98793596;-0,07874016
-0,98790396;-0,07874016
-0,98787196;-0,07874016
-0,98783996;0,00000000
-0,98780796;-0,07874016
-0,98777596;0,00000000
-0,98774396;-0,07874016
-0,98771196;0,00000000
-0,98767996;-0,07874016
-0,98764796;-0,07874016
-0,98761596;-0,07874016
-0,98758396;0,00000000
-0,98755196;-0,07874016
-0,98751996;-0,07874016
-0,98748796;0,00000000
-0,98745596;-0,07874016
-0,98742396;0,00000000
-0,98739196;0,00000000
-0,98735996;0,00000000
-0,98732796;-0,07874016
-0,98729596;-0,07874016
-0,98726396;0,00000000
-0,98723196;0,00000000
-0,98719996;-0,07874016
-0,98716796;-0,07874016
-0,98713596;0,00000000
-0,98710396;0,00000000
-0,98707196;0,00000000
-0,98703996;0,00000000
-0,98700796;0,00000000
-0,98697596;0,00000000
-0,98694396;-0,07874016
-0,98691196;0,00000000
-0,98687996;0,00000000
-0,98684796;0,00000000
-0,98681596;-0,07874016
-0,98678396;0,00000000
-0,98675196;0,00000000
-0,98671996;0,00000000
-0,98668796;-0,07874016
-0,98665596;-0,07874016
-0,98662396;0,00000000
-0,98659196;0,00000000
-0,98655996;-0,07874016
-0,98652796;0,00000000
-0,98649596;-0,07874016
-0,98646396;-0,07874016
-0,98643196;0,00000000
-0,98639996;0,00000000
-0,98636796;0,00000000
-0,98633596;-0,07874016
-0,98630396;0,00000000
-0,98627196;0,00000000
-0,98623996;0,00000000
-0,98620796;-0,07874016
-0,98617596;-0,07874016
-0,98614396;0,00000000
-0,98611196;0,00000000
-0,98607996;-0,07874016
-0,98604796;-0,07874016
-0,98601596;-0,07874016
-0,98598396;-0,07874016
-0,98595196;-0,07874016
-0,98591996;-0,07874016
-0,98588796;0,00000000
-0,98585596;-0,07874016
-0,98582396;-0,07874016
-0,98579196;0,00000000
-0,98575996;0,00000000
-0,98572796;-0,07874016
-0,98569596;0,00000000
-0,98566396;0,00000000
-0,98563196;-0,07874016
-0,98559996;0,00000000
-0,98556796;0,00000000
-0,98553596;0,00000000
-0,98550396;0,00000000
-0,98547196;-0,07874016
-0,98543996;-0,07874016
-0,98540796;-0,07874016
-0,98537596;-0,07874016
-0,98534396;-0,07874016
-0,98531196;-0,07874016
-0,98527996;0,00000000
-0,98524796;0,00000000
-0,98521596;0,00000000
-0,98518396;0,00000000
-0,98515196;-0,07874016
-0,98511996;0,00000000
-0,98508796;0,00000000
-0,98505596;0,00000000
-0,98502396;-0,07874016
-0,98499196;0,00000000
-0,98495996;0,00000000
-0,98492796;-0,07874016
-0,98489596;0,07874016
-0,98486396;-0,07874016
-0,98483196;0,00000000
-0,98479996;0,00000000
-0,98476796;0,00000000
-0,98473596;-0,07874016
-0,98470396;-0,07874016
-0,98467196;-0,07874016
-0,98463996;-0,07874016
-0,98460796;-0,07874016
-0,98457596;0,00000000
-0,98454396;-0,07874016
-0,98451196;-0,07874016
-0,98447996;0,00000000
-0,98444796;0,00000000
-0,98441596;0,00000000
-0,98438396;0,00000000
-0,98435196;0,00000000
-0,98431996;-0,07874016
-0,98428796;0,00000000
-0,98425596;-0,07874016
-0,98422396;-0,07874016
-0,98419196;0,00000000
-0,98415996;0,00000000
-0,98412796;0,00000000
-0,98409596;-0,07874016
-0,98406396;0,00000000
-0,98403196;-0,07874016
-0,98399996;-0,07874016
-0,98396796;0,00000000
-0,98393596;-0,07874016
-0,98390396;0,00000000
-0,98387196;0,00000000
-0,98383996;0,00000000
-0,98380796;0,00000000
-0,98377596;-0,07874016
-0,98374396;0,00000000
-0,98371196;0,00000000
-0,98367996;-0,07874016
-0,98364796;0,00000000
-0,98361596;-0,07874016
-0,98358396;0,00000000
-0,98355196;0,00000000
-0,98351996;-0,07874016
-0,98348796;-0,07874016
-0,98345596;-0,07874016
-0,98342396;0,00000000
-0,98339196;0,00000000
-0,98335996;-0,07874016
-0,98332796;0,00000000
-0,98329596;0,00000000
-0,98326396;0,00000000
-0,98323196;0,00000000
-0,98319996;0,00000000
-0,98316796;-0,07874016
-0,98313596;-0,07874016
-0,98310396;-0,07874016
-0,98307196;0,00000000
-0,98303996;0,00000000
-0,98300796;0,00000000
-0,98297596;0,00000000
-0,98294396;0,00000000
-0,98291196;0,00000000
-0,98287996;0,00000000
-0,98284796;0,00000000
-0,98281596;0,00000000
-0,98278396;0,00000000
-0,98275196;0,00000000
-0,98271996;-0,07874016
-0,98268796;0,00000000
-0,98265596;0,00000000
-0,98262396;-0,07874016
-0,98259196;-0,07874016
-0,98255996;-0,07874016
-0,98252796;0,00000000
-0,98249596;0,00000000
-0,98246396;0,00000000
-0,98243196;-0,07874016
-0,98239996;-0,07874016
-0,98236796;-0,07874016
-0,98233596;0,00000000
-0,98230396;0,00000000
-0,98227196;-0,07874016
-0,98223996;-0,07874016
-0,98220796;-0,07874016
-0,98217596;-0,07874016
-0,98214396;0,00000000
-0,98211196;-0,07874016
-0,98207996;0,00000000
-0,98204796;-0,07874016
-0,98201596;0,00000000
-0,98198396;0,00000000
-0,98195196;0,00000000
-0,98191996;0,00000000
-0,98188796;-0,07874016
-0,98185596;0,00000000
-0,98182396;-0,07874016
-0,98179196;0,00000000
-0,98175996;0,00000000
-0,98172796;-0,07874016
-0,98169596;-0,07874016
-0,98166396;0,00000000
-0,98163196;-0,07874016
-0,98159996;-0,07874016
-0,98156796;0,00000000
-0,98153596;0,00000000
-0,98150396;-0,07874016
-0,98147196;-0,07874016
-0,98143996;0,00000000
-0,98140796;0,00000000
-0,98137596;0,00000000
-0,98134396;-0,15748031
-0,98131196;0,00000000
-0,98127996;-0,07874016
-0,98124796;-0,07874016
-0,98121596;-0,07874016
-0,98118396;0,00000000
-0,98115196;-0,07874016
-0,98111996;0,00000000
-0,98108796;-0,07874016
-0,98105596;-0,07874016
-0,98102396;-0,07874016
-0,98099196;-0,07874016
-0,98095996;-0,07874016
-0,98092796;0,00000000
-0,98089596;0,00000000
-0,98086396;-0,15748031
-0,98083196;-0,07874016
-0,98079996;0,00000000
-0,98076796;0,00000000
-0,98073596;0,00000000
-0,98070396;-0,07874016
-0,98067196;0,00000000
-0,98063996;-0,07874016
-0,98060796;-0,07874016
-0,98057596;0,00000000
-0,98054396;0,00000000
-0,98051196;0,00000000
-0,98047996;0,00000000
-0,98044796;0,00000000
-0,98041596;-0,07874016
-0,98038396;-0,07874016
-0,98035196;-0,07874016
-0,98031996;-0,07874016
-0,98028796;-0,07874016
-0,98025596;-0,07874016
-0,98022396;-0,07874016
-0,98019196;0,00000000
-0,98015996;-0,07874016
-0,98012796;-0,07874016
-0,98009596;-0,07874016
-0,98006396;-0,07874016
-0,98003196;-0,07874016
-0,97999996;-0,07874016
-0,97996796;-0,07874016
-0,97993596;0,00000000
-0,97990396;0,00000000
-0,97987196;-0,07874016
-0,97983996;-0,07874016
-0,97980796;-0,07874016
-0,97977596;-0,07874016
-0,97974396;-0,07874016
-0,97971196;-0,07874016
-0,97967996;-0,07874016
-0,97964796;-0,07874016
-0,97961596;-0,07874016
-0,97958396;0,00000000
-0,97955196;0,00000000
-0,97951996;0,00000000
-0,97948796;0,00000000
-0,97945596;-0,07874016
-0,97942396;-0,07874016
-0,97939196;-0,07874016
-0,97935996;0,00000000
-0,97932796;0,00000000
-0,97929596;-0,07874016
-0,97926396;0,00000000
